"日期","最新","开盘","高","低","交易量","百分比变化"
"2014年9月15日","8,112.65","8,124.73","8,125.23","8,051.53","19.09K","-0.42"
"2014年9月12日","8,146.99","8,104.42","8,147.20","8,069.68","18.34K","0.36"
"2014年9月11日","8,117.92","8,153.52","8,251.06","8,095.86","20.65K","-0.50"
"2014年9月10日","8,158.60","8,164.40","8,172.12","8,109.44","16.26K","-0.52"
"2014年9月9日","8,201.51","8,220.96","8,225.10","8,155.83","18.96K","-0.16"
"2014年9月5日","8,214.53","8,202.66","8,237.42","8,158.83","20.02K","0.46"
"2014年9月4日","8,176.57","8,141.39","8,180.42","8,103.20","16.07K","0.75"
"2014年9月3日","8,115.87","8,051.09","8,136.56","8,051.09","17.89K","0.90"
"2014年9月2日","8,043.31","7,958.85","8,046.71","7,923.98","17.73K","1.29"
"2014年9月1日","7,941.16","7,852.91","7,944.15","7,852.87","13.21K","1.27"
"2014年8月29日","7,841.70","7,758.36","7,841.70","7,755.47","8.63K","1.27"
"2014年8月28日","7,743.54","7,840.39","7,854.28","7,735.68","10.86K","-1.24"
"2014年8月27日","7,841.07","7,809.52","7,881.25","7,809.52","9.98K","0.35"
"2014年8月26日","7,813.98","7,915.33","7,946.39","7,786.23","13.14K","-1.52"
"2014年8月25日","7,934.81","8,054.88","8,056.21","7,925.22","13.94K","-1.55"
"2014年8月22日","8,059.40","8,003.53","8,074.42","7,997.59","14.13K","0.61"
"2014年8月21日","8,010.71","8,021.15","8,024.65","7,904.07","18.28K","-0.15"
"2014年8月20日","8,023.07","8,029.51","8,060.51","8,000.21","17.87K","-0.25"
"2014年8月19日","8,043.25","8,064.62","8,073.22","7,994.50","19.17K","-0.03"
"2014年8月18日","8,045.86","8,018.18","8,058.55","7,985.89","23.52K","0.80"
"2014年8月15日","7,982.07","7,901.19","8,012.14","7,891.06","16.84K","1.12"
"2014年8月14日","7,893.90","7,977.33","7,998.91","7,887.95","14.99K","-1.09"
"2014年8月13日","7,980.49","7,967.91","8,029.73","7,897.80","16.80K","0.17"
"2014年8月12日","7,966.89","8,000.92","8,000.92","7,933.51","12.67K","-0.53"
"2014年8月11日","8,009.73","7,902.24","8,017.13","7,902.24","13.67K","1.58"
"2014年8月8日","7,885.33","7,890.88","7,929.12","7,845.26","15.03K","0.16"
"2014年8月7日","7,872.95","7,990.00","8,027.51","7,869.88","19.04K","-1.53"
"2014年8月6日","7,995.50","7,962.56","8,022.54","7,883.08","20.38K","-0.15"
"2014年8月5日","8,007.76","8,007.47","8,032.28","7,950.52","17.59K","0.01"
"2014年8月4日","8,006.91","7,896.97","8,006.91","7,892.55","16.41K","1.60"
"2014年8月1日","7,880.98","7,919.78","8,021.15","7,880.42","19.71K","-0.95"
"2014年7月31日","7,956.91","7,845.80","7,957.46","7,821.71","19.21K","1.32"
"2014年7月30日","7,853.23","7,867.93","7,920.97","7,820.80","19.20K","-0.18"
"2014年7月29日","7,867.04","7,828.35","7,895.73","7,799.14","22.60K","0.75"
"2014年7月28日","7,808.66","7,630.35","7,826.79","7,630.35","26.93K","3.04"
"2014年7月25日","7,578.12","7,528.34","7,578.12","7,503.62","17.01K","1.00"
"2014年7月24日","7,503.40","7,384.92","7,510.42","7,384.92","20.18K","1.74"
"2014年7月23日","7,375.31","7,362.74","7,412.84","7,341.56","11.50K","0.04"
"2014年7月22日","7,372.65","7,261.37","7,384.87","7,258.58","10.92K","1.35"
"2014年7月21日","7,274.51","7,264.54","7,301.15","7,251.35","8.04K","0.21"
"2014年7月18日","7,259.45","7,166.65","7,312.83","7,159.84","9.34K","0.90"
"2014年7月17日","7,194.74","7,251.15","7,251.15","7,151.43","8.27K","-0.92"
"2014年7月16日","7,261.91","7,289.19","7,324.68","7,251.57","10.27K","-0.58"
"2014年7月15日","7,304.41","7,278.96","7,314.18","7,270.12","11.90K","0.35"
"2014年7月14日","7,278.86","7,206.13","7,279.15","7,180.21","10.00K","1.00"
"2014年7月11日","7,206.97","7,158.58","7,232.72","7,146.45","11.04K","0.66"
"2014年7月10日","7,159.63","7,193.22","7,218.10","7,149.38","11.29K","-0.46"
"2014年7月9日","7,192.71","7,341.17","7,342.32","7,192.71","10.82K","-2.25"
"2014年7月8日","7,358.33","7,319.28","7,358.33","7,277.46","8.93K","0.50"
"2014年7月7日","7,321.52","7,336.63","7,373.23","7,301.57","8.06K","-0.17"
"2014年7月4日","7,333.91","7,346.69","7,363.16","7,318.57","8.13K","-0.02"
"2014年7月3日","7,335.54","7,300.25","7,362.39","7,286.18","8.43K","0.34"
"2014年7月2日","7,310.38","7,298.02","7,319.35","7,258.31","10.01K","0.18"
"2014年7月1日","7,297.49","7,340.59","7,350.87","7,277.41","8.53K","-0.62"
"2014年6月30日","7,343.27","7,312.68","7,362.43","7,312.68","8.61K","0.42"
"2014年6月27日","7,312.62","7,291.18","7,344.79","7,270.52","7.77K","0.28"
"2014年6月26日","7,291.88","7,219.17","7,306.73","7,219.17","6.72K","1.03"
"2014年6月25日","7,217.65","7,238.82","7,238.82","7,174.60","5.97K","-0.32"
"2014年6月24日","7,240.85","7,200.65","7,243.32","7,185.40","6.02K","0.67"
"2014年6月23日","7,192.87","7,205.89","7,253.98","7,184.16","7.28K","-0.04"
"2014年6月20日","7,195.69","7,181.15","7,207.63","7,134.53","9.63K","0.21"
"2014年6月19日","7,180.32","7,301.39","7,324.64","7,148.02","9.49K","-1.60"
"2014年6月18日","7,297.40","7,329.94","7,351.97","7,291.74","9.59K","-0.46"
"2014年6月17日","7,331.37","7,400.08","7,400.08","7,320.72","8.14K","-1.15"
"2014年6月16日","7,416.99","7,397.05","7,433.54","7,372.93","11.00K","0.21"
"2014年6月13日","7,401.35","7,293.50","7,429.96","7,290.14","9.83K","1.39"
"2014年6月12日","7,299.81","7,313.83","7,318.75","7,280.01","7.98K","-0.56"
"2014年6月11日","7,340.69","7,323.04","7,354.49","7,307.36","7.80K","-0.01"
"2014年6月10日","7,341.66","7,229.97","7,345.54","7,229.62","9.41K","1.58"
"2014年6月9日","7,227.24","7,217.54","7,301.34","7,205.34","9.08K","-0.11"
"2014年6月6日","7,235.39","7,272.23","7,283.65","7,195.13","6.75K","-0.93"
"2014年6月5日","7,303.64","7,215.95","7,306.76","7,205.10","5.93K","1.11"
"2014年6月4日","7,223.13","7,314.97","7,314.97","7,177.66","6.72K","-1.34"
"2014年6月3日","7,321.52","7,365.61","7,399.46","7,319.77","7.04K","-0.59"
"2014年5月30日","7,364.83","7,344.83","7,393.38","7,309.02","7.96K","0.32"
"2014年5月29日","7,341.56","7,395.58","7,432.35","7,340.98","9.48K","-0.53"
"2014年5月28日","7,380.69","7,263.31","7,381.47","7,246.09","10.59K","1.66"
"2014年5月27日","7,260.12","7,265.24","7,305.96","7,253.90","5.76K","-0.21"
"2014年5月26日","7,275.11","7,289.63","7,306.61","7,233.17","7.41K","0.47"
"2014年5月23日","7,240.92","7,188.56","7,246.95","7,161.75","7.93K","0.80"
"2014年5月22日","7,183.68","7,201.72","7,295.04","7,181.03","8.53K","-0.29"
"2014年5月21日","7,204.65","7,121.36","7,205.23","7,075.32","6.50K","0.75"
"2014年5月20日","7,151.18","7,180.32","7,220.33","7,130.06","6.44K","-0.00"
